productid,productName,subCategory,size,finalPrice,image_url,comb,available
1593,Ghadi Washing Powder ,Cloth Wash,1 Kg,63,http://143.110.186.55:8080/vf-api/android/productImage/Ghadi Powder/jpg,ghadi washing powder  cloth wash,yes
1594,Surf excel Powder ,Cloth Wash,500 gm,66,http://143.110.186.55:8080/vf-api/android/productImage/Surf Excel Powder/jpg,surf excel powder  cloth wash,yes
1595,Surf excel Powder ,Cloth Wash,1 Kg,130,http://143.110.186.55:8080/vf-api/android/productImage/Surf Excel Powder/jpg,surf excel powder  cloth wash,yes
1596,Ashirwad Shudhh Chakki Atta,Grains & Legumes,5 kg,201.4,http://143.110.186.55:8080/vf-api/android/productImage/chakki atta/jfif,ashirwad shudhh chakki atta grains & legumes,yes
1598,Ashirvad Shuddh Chakki Atta ,Grains & Legumes,10 Kg,401.85,http://143.110.186.55:8080/vf-api/android/productImage/Ahirvad Chakki Atta/png,ashirvad shuddh chakki atta  grains & legumes,yes
1601,Tide Washing Powder ,Cloth Wash,500 gm,58,http://143.110.186.55:8080/vf-api/android/productImage/Tide Powder/png,tide washing powder  cloth wash,yes
1602,Tide Washing Powder ,Cloth Wash,1 Kg,124,http://143.110.186.55:8080/vf-api/android/productImage/Tide Powder/png,tide washing powder  cloth wash,yes
1603,Tide Bar ,Cloth Wash,200 gm,10,http://143.110.186.55:8080/vf-api/android/productImage/Tide Soap/jpg,tide bar  cloth wash,yes
1604,Himalaya Neem Face wash,Face Wash,50 ML,70,http://143.110.186.55:8080/vf-api/android/productImage/Himalaya face wash/jpg,himalaya neem face wash face wash,yes
1605,Pears Face wash,Face Wash,60 ml,145.5,http://143.110.186.55:8080/vf-api/android/productImage/pears face wash/jpg,pears face wash face wash,yes
1606,Arial Washing Powder,Cloth Wash,1 Kg,136,http://143.110.186.55:8080/vf-api/android/productImage/Ariel Washing Powder/jpg,arial washing powder cloth wash,yes
1607,Natures Papaya Facewash,Face Wash,65 ml,65,http://143.110.186.55:8080/vf-api/android/productImage/papaya face wash/jpg,natures papaya facewash face wash,yes
1608,Savlon Moisture Shield,Hand Wash ,750 ml,99,http://143.110.186.55:8080/vf-api/android/productImage/Savlon Hand Wash/jpg,savlon moisture shield hand wash ,yes
1609,Savlon Herbal Sensitive ,Hand Wash ,750 ml,99,http://143.110.186.55:8080/vf-api/android/productImage/Savlon Harbal Sensetive/jpg,savlon herbal sensitive  hand wash ,yes
1610,Savlon Deep  Clean ,Hand Wash ,725 ml,99,http://143.110.186.55:8080/vf-api/android/productImage/Savlon Deep Clean/jpeg,savlon deep  clean  hand wash ,yes
1611,Dettol Combo Pack,Hand Wash ,200 ml,90,http://143.110.186.55:8080/vf-api/android/productImage/Dettol Combo Pack/jpg,dettol combo pack hand wash ,yes
1612,Santoor Gentle Hand Wash ,Hand Wash ,180 ml,57,http://143.110.186.55:8080/vf-api/android/productImage/Santoor Hand Wash/jpeg,santoor gentle hand wash  hand wash ,yes
1613,Lifebuoy Combo Pack,Hand Wash ,750 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Lifebuoy Hand Wash/jpg,lifebuoy combo pack hand wash ,yes
1614,Park Avenue Good Morning,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Park Avenue Good Morning/jpg,park avenue good morning deo,yes
1615,Park Avenue Alpha,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Park Avenue Alpha/jpeg,park avenue alpha deo,yes
1616,Park Avenue Cool Blue,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Park Avenue Cool Blue/jpg,park avenue cool blue deo,yes
1617,Park Avenue Storm,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Park Avenue Storm/jpg,park avenue storm deo,yes
1618,Set Wet Miscief Avatar ,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Set Wet Miscief Avatar/jpg,set wet miscief avatar  deo,yes
1619,Set Wet Allure Avatar,Deo,150 gm,199,http://143.110.186.55:8080/vf-api/android/productImage/Set Wet Allure Avatar/jpg,set wet allure avatar deo,yes
1620,Nivea Men ,Deo,150 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Nivea Men/jpg,nivea men  deo,yes
1621,Fogg Monarch,Deo,120 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Fogg Monarch/jpg,fogg monarch deo,yes
1622,Fogg Napoleon,Deo,120 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Fogg Napoleon/jpg,fogg napoleon deo,yes
1623,Fogg Marco,Deo,120 ml,199,http://143.110.186.55:8080/vf-api/android/productImage/Fogg Macro/jpg,fogg marco deo,yes
1624,Axe Signature ,Deo,122 ml,210,http://143.110.186.55:8080/vf-api/android/productImage/Axe Signature/jpg,axe signature  deo,yes
1625,Garnier Natural Brown ,Mehandi,1 pkt,39,http://143.110.186.55:8080/vf-api/android/productImage/Garnier Natural Brown/jpg,garnier natural brown  mehandi,yes
